,Title,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language,budget_max,Format
328,Under the Silver Lake,2019-04-19,139 min,"Crime, Drama, Mystery",3 wins & 10 nominations,60.0,6.5,"45,318",tt5691670,46083.0,English,8500000.0,not_netflix
329,Fast Color,2019-04-19,100 min,"Drama, Sci-Fi, Thriller",1 win & 7 nominations,64.0,6.1,"6,648",tt6418778,76916.0,English,0.0,not_netflix
330,Someone Great,2019-04-19,92 min,"Comedy, Romance",,63.0,6.1,"23,678",tt8075260,,English,0.0,netflix
331,I Spit on Your Grave: Deja Vu,2019-04-23,148 min,"Horror, Thriller",,,2.4,"3,066",tt4058836,,English,,not_netflix
332,Avengers: Endgame,2019-04-26,181 min,"Action, Adventure, Drama",Nominated for 1 Oscar. 70 wins & 133 nominations total,78.0,8.4,"1,162,856",tt4154796,858373000.0,"English, Japanese, Xhosa, German",356000000.0,not_netflix
333,I Trapped the Devil,2019-04-26,82 min,"Crime, Drama, Fantasy",2 nominations,47.0,4.8,"2,886",tt8708304,,English,1000000.0,not_netflix
334,Body at Brighton Rock,2019-04-26,87 min,"Comedy, Drama, Fantasy",2 nominations,53.0,4.8,"2,381",tt7942746,5123.0,English,0.0,not_netflix
335,Buffaloed,2020-06-01,95 min,"Comedy, Drama",1 win,61.0,6.2,"6,643",tt8647310,29118.0,English,0.0,not_netflix
336,Long Shot,2019-05-03,125 min,"Comedy, Romance",5 wins & 13 nominations,67.0,6.8,"114,267",tt2139881,30316271.0,"English, Swedish, French, Vietnamese, Russian, Hebrew",40000000.0,not_netflix
337,The Intruder,2019-05-03,102 min,"Horror, Thriller",,39.0,5.6,"18,683",tt6722030,35419122.0,English,0.0,not_netflix
338,UglyDolls,2019-05-03,87 min,"Animation, Adventure, Comedy",1 win & 1 nomination,39.0,5.1,"7,171",tt1946502,20150241.0,English,45000000.0,not_netflix
339,"Extremely Wicked, Shockingly Evil and Vile",2019-05-03,110 min,"Biography, Crime, Drama",5 wins & 5 nominations,52.0,6.7,"96,807",tt2481498,,English,0.0,not_netflix
340,The Last Summer,2019-05-03,109 min,"Comedy, Romance",3 nominations,,5.5,"13,671",tt7957694,,English,0.0,netflix
341,Pokémon: Detective Pikachu,2019-05-10,104 min,"Action, Adventure, Comedy",10 nominations,53.0,6.5,"168,450",tt5884052,144174568.0,"English, Japanese",,not_netflix
342,The Hustle,2019-05-10,93 min,"Comedy, Crime",3 wins & 3 nominations,35.0,5.4,"62,145",tt1298644,35417038.0,"English, German, Dutch, Danish, French, American Sign ",21000000.0,not_netflix
343,Tolkien,2019-05-10,112 min,"Biography, Drama, Romance",,48.0,6.8,"42,781",tt3361792,4535154.0,"English, Middle English, Old English, Latin, German",20000000.0,not_netflix
344,Poms,2019-05-10,90 min,"Comedy, Drama, Sport",2 nominations,36.0,6.1,"6,650",tt5125894,13631124.0,English,0.0,not_netflix
345,The Professor and the Madman,2019-05-10,124 min,"Biography, Drama, History",1 nomination,27.0,7.2,"47,798",tt5932728,,English,25000000.0,not_netflix
346,John Wick: Chapter 3 - Parabellum,2019-05-17,130 min,"Action, Crime, Thriller",18 wins & 29 nominations,73.0,7.4,"360,756",tt6146586,171015687.0,"English, Russian, Japanese, Indonesian, Mandarin, Italian, Arabic, Latin",55000000.0,not_netflix
347,A Dog's Journey,2019-05-17,109 min,"Adventure, Comedy, Drama",2 nominations,43.0,7.4,"26,117",tt8385474,22782371.0,English,0.0,not_netflix
348,The Sun Is Also a Star,2019-05-17,100 min,"Drama, Music, Romance",2 nominations,52.0,5.9,"7,682",tt6423362,4950029.0,"English, Korean",0.0,not_netflix
349,The Professor,2019-05-17,90 min,"Comedy, Drama",1 nomination,37.0,6.7,"33,979",tt6865690,,"English, Spanish",0.0,not_netflix
350,The Souvenir,2019-06-07,120 min,"Drama, Romance",7 wins & 37 nominations,92.0,6.4,"13,506",tt6920356,1036737.0,English,0.0,not_netflix
351,The Tomorrow Man,2019-08-02,94 min,"Drama, Romance",3 nominations,49.0,5.8,"2,036",tt8769848,354103.0,English,0.0,not_netflix
352,Aladdin,1992-11-25,90 min,"Animation, Adventure, Comedy",Won 2 Oscars. 34 wins & 22 nominations total,86.0,8.0,"431,684",tt0103639,217350219.0,English,183000000.0,not_netflix
353,Brightburn,2019-05-24,90 min,"Drama, Horror, Mystery",1 win & 2 nominations,44.0,6.1,"101,455",tt7752126,17300439.0,English,6000000.0,not_netflix
354,Booksmart,2019-05-24,102 min,Comedy,Nominated for 1 BAFTA Award29 wins & 62 nominations total,84.0,7.1,"123,175",tt1489887,22680962.0,"English, Mandarin, Spanish",6000000.0,not_netflix
355,The Perfection,2019-05-24,90 min,"Drama, Horror, Music",3 wins,60.0,6.2,"46,061",tt7772580,,"English, Mandarin",0.0,netflix
356,Always Be My Maybe,2019-05-31,101 min,"Comedy, Romance",1 win & 5 nominations,64.0,6.8,"58,354",tt7374948,,English,0.0,netflix
357,Godzilla: King of the Monsters,2019-05-31,132 min,"Action, Adventure, Fantasy",5 wins & 14 nominations,48.0,6.0,"188,596",tt3741700,110500138.0,"English, Japanese, Chinese, Spanish",170000000.0,not_netflix
358,Rocketman,2019-05-31,121 min,"Biography, Drama, Musical",Won 1 Oscar. 25 wins & 86 nominations total,69.0,7.3,"180,491",tt2066051,96368160.0,English,40000000.0,not_netflix
359,Ma,2019-05-31,99 min,"Horror, Mystery, Thriller",1 win & 8 nominations,53.0,5.6,"55,334",tt7958736,45896028.0,English,5000000.0,not_netflix
360,X-Men: Dark Phoenix,2019-06-07,113 min,"Action, Adventure, Sci-Fi",13 nominations,43.0,5.7,"192,158",tt6565702,65845974.0,"English, French",,not_netflix
361,The Secret Life of Pets 2,2019-06-07,86 min,"Animation, Adventure, Comedy",11 nominations,55.0,6.4,"64,507",tt5113040,158874395.0,English,80000000.0,not_netflix
362,Late Night,2019-06-14,102 min,"Comedy, Drama",1 win & 14 nominations,70.0,6.5,"39,119",tt6107548,15499454.0,English,4000000.0,not_netflix
363,The Last Black Man in San Francisco,2019-06-07,121 min,Drama,18 wins & 59 nominations,83.0,7.3,"20,419",tt4353250,4515719.0,English,0.0,not_netflix
364,Changeland,2019-06-07,86 min,"Comedy, Drama",,42.0,5.7,"2,431",tt6612946,,"English, Thai",0.0,not_netflix
365,Men in Black: International,2019-06-14,114 min,"Action, Adventure, Comedy",9 nominations,38.0,5.6,"138,295",tt2283336,80001807.0,"English, French, Chinese",110000000.0,not_netflix
366,Shaft,2000-06-16,99 min,"Action, Crime, Thriller",1 win & 13 nominations,50.0,6.0,"78,469",tt0162650,70334258.0,"English, German, Spanish",30000000.0,not_netflix
367,The Dead Don't Die,2019-06-14,104 min,"Comedy, Fantasy, Horror",2 wins & 7 nominations,53.0,5.4,"81,339",tt8695030,6563605.0,English,0.0,not_netflix
368,Murder Mystery,2019-06-14,97 min,"Action, Comedy, Crime",1 win & 6 nominations,38.0,6.0,"136,484",tt1618434,,"English, French, Latin, Spanish",24000000.0,netflix
369,Plus One,2019-06-14,98 min,"Comedy, Drama, Romance",1 win,65.0,6.6,"12,502",tt7645122,,English,0.0,not_netflix
370,Being Frank,2019-06-21,109 min,Comedy,3 wins & 5 nominations,41.0,6.1,"1,627",tt6547044,67343.0,English,0.0,not_netflix
371,Toy Story 4,2019-06-21,100 min,"Animation, Adventure, Comedy",Won 1 Oscar. 57 wins & 67 nominations total,84.0,7.7,"258,607",tt1979376,434038008.0,English,175000000.0,not_netflix
372,Anna,2019-06-21,118 min,"Action, Thriller",2 nominations,40.0,6.6,"86,158",tt7456310,7743794.0,"English, Russian, French, Italian, Dutch",34000000.0,not_netflix
373,Child's Play,1988-11-09,87 min,"Horror, Thriller",2 wins & 4 nominations,58.0,6.6,"107,345",tt0094862,33244684.0,English,10000000.0,not_netflix
374,Annabelle Comes Home,2019-06-26,106 min,"Horror, Mystery, Thriller",2 nominations,53.0,5.9,"79,046",tt8350360,74152591.0,English,30000000.0,not_netflix
375,Yesterday,2019-06-28,116 min,"Comedy, Fantasy, Music",2 wins & 19 nominations,55.0,6.8,"157,501",tt8079248,73286650.0,"English, Portuguese, Japanese",26000000.0,not_netflix
376,Ophelia,2019-06-28,106 min,"Drama, Romance, Thriller",4 wins & 4 nominations,60.0,6.5,"12,015",tt5690810,50722.0,"English, Norwegian, Latin",12000000.0,not_netflix
377,Killers Anonymous,2019-09-28,95 min,"Action, Crime, Mystery",,22.0,4.1,"10,076",tt8400758,,English,0.0,not_netflix
378,Spider-Man: Far from Home,2019-07-02,129 min,"Action, Adventure, Comedy",11 wins & 26 nominations,69.0,7.4,"508,301",tt6320628,390532085.0,"English, Italian, Czech",,not_netflix
379,Escape Plan: The Extractors,2019-07-02,97 min,"Action, Crime, Thriller",1 nomination,,4.4,"15,346",tt6772804,,"English, Chinese, German",3600000.0,not_netflix
380,Midsommar,2019-07-03,148 min,"Drama, Horror, Mystery",28 wins & 77 nominations,72.0,7.1,"341,772",tt8772262,27426361.0,"English, Swedish",9000000.0,not_netflix
381,Stuber,2019-07-12,93 min,"Action, Comedy, Crime",5 nominations,42.0,6.2,"49,018",tt7734218,22370452.0,"English, Spanish",16000000.0,not_netflix
382,Crawl,2019-07-12,87 min,"Action, Adventure, Horror",5 nominations,60.0,6.1,"87,641",tt8364368,39014193.0,English,13500000.0,not_netflix
383,Point Blank,1967-08-31,92 min,"Crime, Drama, Thriller",1 win,86.0,7.3,"21,910",tt0062138,,English,0.0,netflix
384,The Farewell,2019-08-09,100 min,"Comedy, Drama",Nominated for 1 BAFTA Award36 wins & 189 nominations total,89.0,7.5,"66,813",tt8637428,17695781.0,"Mandarin, English, Japanese, Italian",250300.0,not_netflix
385,Darlin',2019-07-12,100 min,"Horror, Thriller",2 nominations,49.0,4.9,"2,097",tt8396294,,English,0.0,not_netflix
386,The Lion King,1994-06-24,88 min,"Animation, Adventure, Drama",Won 2 Oscars. 42 wins & 36 nominations total,88.0,8.5,"1,074,159",tt0110357,422783777.0,"English, Swahili, Xhosa, Zulu",260000000.0,not_netflix
387,Once Upon a Time in Hollywood,2019-07-26,161 min,"Comedy, Drama",Won 2 Oscars. 143 wins & 381 nominations total,83.0,7.6,"767,180",tt7131622,142502728.0,"English, Italian, Spanish, German",,not_netflix
388,Skin,2019-07-23,118 min,"Biography, Crime, Drama",1 win & 3 nominations,58.0,6.8,"17,283",tt6043142,,English,50000.0,not_netflix
389,The Red Sea Diving Resort,2019-07-31,129 min,"Drama, History, Thriller",,,6.6,"30,477",tt4995776,,"English, Amharic",0.0,netflix
390,Fast & Furious 6,2013-05-24,130 min,"Action, Adventure, Crime",11 wins & 22 nominations,61.0,7.0,"400,484",tt1905041,238679850.0,"English, Spanish, Russian, Japanese, Cantonese, Dutch, Danish, Ukrainian",,not_netflix
391,A Score to Settle,2019-08-02,103 min,"Action, Crime, Drama",1 nomination,37.0,4.7,"6,501",tt3758162,,"English, Spanish, Italian",0.0,not_netflix
392,The Operative,2019-07-24,116 min,"Action, Drama, Mystery",1 win,47.0,5.8,"6,887",tt8000718,,"English, German, Persian, Hebrew, Kurdish, French",0.0,not_netflix
393,Dora and the Lost City of Gold,2019-08-09,102 min,"Action, Adventure, Comedy",4 wins & 2 nominations,63.0,6.1,"31,985",tt7547410,60477943.0,"English, Spanish, Quechua",49000000.0,not_netflix
394,The Kitchen,2019-08-09,102 min,"Action, Crime, Drama",1 nomination,35.0,5.6,"21,865",tt5822564,12180032.0,"English, Hebrew",38000000.0,not_netflix
395,The Art of Racing in the Rain,2019-08-09,109 min,"Comedy, Drama, Romance",,43.0,7.5,"33,672",tt1478839,26395642.0,"English, Italian",18000000.0,not_netflix
396,Scary Stories to Tell in the Dark,2019-08-09,108 min,"Adventure, Horror, Mystery",4 wins & 7 nominations,61.0,6.2,"79,383",tt3387520,68947075.0,English,25000000.0,not_netflix
397,The Peanut Butter Falcon,2019-08-23,97 min,"Adventure, Comedy, Drama",20 wins & 16 nominations,70.0,7.6,"93,356",tt4364194,20457151.0,English,0.0,not_netflix
398,After the Wedding,2007-05-11,120 min,Drama,Nominated for 1 Oscar. 9 wins & 17 nominations total,78.0,7.7,"35,552",tt0457655,1534584.0,"Danish, Swedish, English, Hindi",0.0,not_netflix
399,Light of My Life,2019-08-09,119 min,"Drama, Sci-Fi, Thriller",5 nominations,67.0,6.6,"14,296",tt6063090,20056.0,English,0.0,not_netflix
400,The Angry Birds Movie 2,2019-08-14,97 min,"Animation, Action, Adventure",1 win & 3 nominations,60.0,6.4,"31,478",tt6095472,41667116.0,English,65000000.0,not_netflix
401,Good Boys,2019-08-16,90 min,"Adventure, Comedy",2 wins & 9 nominations,,6.7,"76,380",tt6977338,83140306.0,English,20000000.0,not_netflix
402,Blinded by the Light,2019-08-16,118 min,"Comedy, Drama, Music",2 wins & 8 nominations,71.0,6.9,"25,825",tt8266310,11901145.0,"English, Urdu",15000000.0,not_netflix
403,"Where'd You Go, Bernadette",2019-08-16,109 min,"Comedy, Drama",4 nominations,51.0,6.5,"23,066",tt2365580,9198356.0,English,20000000.0,not_netflix
404,47 Meters Down: Uncaged,2019-08-16,90 min,"Adventure, Drama, Horror",,43.0,5.0,"28,252",tt7329656,22260900.0,"English, Spanish",12000000.0,not_netflix
405,Gwen,2019-08-16,84 min,"Drama, History, Horror",3 wins & 16 nominations,63.0,5.7,"5,557",tt5149490,,"English, Welsh",0.0,not_netflix
406,Ready or Not,2019-08-21,95 min,"Action, Comedy, Horror",4 wins & 24 nominations,64.0,6.8,"159,962",tt7798634,28714231.0,"English, Latin",6000000.0,not_netflix
407,Angel Has Fallen,2019-08-23,121 min,"Action, Thriller",1 nomination,45.0,6.4,"101,858",tt6189022,69030436.0,English,40000000.0,not_netflix
408,Brittany Runs a Marathon,2019-10-24,104 min,"Comedy, Drama",2 wins & 7 nominations,72.0,6.8,"20,935",tt7671064,7189808.0,English,0.0,not_netflix
409,Overcomer,2019-08-23,119 min,"Drama, Family, Sport",2 wins & 3 nominations,17.0,6.6,"5,183",tt8186318,34746945.0,English,0.0,not_netflix
410,Jacob's Ladder,1990-11-02,113 min,"Drama, Horror, Mystery",3 wins & 1 nomination,62.0,7.4,"111,366",tt0099871,26118851.0,English,0.0,not_netflix
411,Burn,2019-08-23,88 min,"Comedy, Crime, Thriller",2 wins & 1 nomination,50.0,5.7,"5,411",tt8009314,,English,0.0,not_netflix
412,Official Secrets,2019-08-30,112 min,"Biography, Crime, Drama",5 wins & 16 nominations,63.0,7.3,"49,788",tt5431890,1988546.0,"English, Mandarin",0.0,not_netflix
413,Don't Let Go,2019-08-30,103 min,"Drama, Horror, Mystery",,49.0,6.3,"11,777",tt6803212,5215062.0,English,5000000.0,not_netflix
414,Itsy Bitsy,2019-12-30,94 min,"Fantasy, Horror, Mystery",1 nomination,,4.7,"5,219",tt6895284,,English,0.0,not_netflix
415,The Fanatic,2020-08-05,88 min,"Crime, Drama, Horror",2 wins & 2 nominations,18.0,4.1,"11,631",tt7869070,,"English, Spanish",18000000.0,not_netflix
416,It Chapter Two,2019-09-06,169 min,"Drama, Fantasy, Horror",7 wins & 34 nominations,58.0,6.5,"275,689",tt7349950,211622525.0,"English, North American Indian, Spanish",79000000.0,not_netflix
417,Satanic Panic,2019-09-06,85 min,"Comedy, Horror",1 win & 4 nominations,51.0,5.6,"6,311",tt8510350,,English,0.0,not_netflix
418,Strange But True,2019-09-06,96 min,Thriller,,55.0,5.9,"5,069",tt2866708,,English,,not_netflix
419,The Obituary of Tunde Johnson,2021-02-26,104 min,Drama,2 wins & 2 nominations,58.0,5.6,672,tt8815382,,English,0.0,not_netflix
420,The Goldfinch,2019-09-13,149 min,Drama,3 nominations,40.0,6.4,"24,734",tt3864056,5332621.0,"English, Ukrainian, German, French",40000000.0,not_netflix
421,Hustlers,2019-09-13,110 min,"Comedy, Crime, Drama",24 wins & 81 nominations,79.0,6.3,"103,090",tt5503686,104963598.0,"English, Russian",20000000.0,not_netflix
422,The Sound of Silence,2019-09-13,88 min,Drama,3 nominations,66.0,5.7,"1,460",tt9352926,20013.0,English,0.0,not_netflix
423,Monos,2019-08-15,102 min,"Adventure, Drama, Thriller",37 wins & 67 nominations,78.0,6.9,"17,900",tt6062774,406473.0,"Spanish, English",0.0,not_netflix
424,Tall Girl,2019-09-13,101 min,"Comedy, Drama, Family",2 wins & 1 nomination,,5.2,"24,881",tt9252508,,English,0.0,netflix
425,Ad Astra,2019-09-20,123 min,"Adventure, Drama, Mystery",Nominated for 1 Oscar. 16 wins & 76 nominations total,80.0,6.5,"243,810",tt2935510,50188370.0,"English, Norwegian",87500000.0,not_netflix
426,Rambo: Last Blood,2019-09-20,89 min,"Action, Crime, Thriller",4 wins & 8 nominations,26.0,6.1,"101,962",tt1206885,44819352.0,"English, Spanish",50000000.0,not_netflix
427,Running with the Devil,2019-09-20,100 min,"Crime, Drama, Thriller",,42.0,5.4,"8,911",tt5792656,,"English, Spanish",0.0,not_netflix
428,Fractured,2019-10-11,99 min,Thriller,3 nominations,36.0,6.4,"80,500",tt4332232,,English,0.0,netflix
429,Abominable,2019-09-27,97 min,"Animation, Adventure, Comedy",4 wins & 23 nominations,61.0,7.0,"40,191",tt6324278,61270390.0,"English, Mandarin",75000000.0,not_netflix
430,The Laundromat,2019-09-27,96 min,"Comedy, Crime, Drama",8 nominations,57.0,6.3,"52,590",tt5865326,,"English, Mandarin, Spanish, Russian",0.0,netflix
431,Judy,2019-10-04,118 min,"Biography, Drama, Music",Won 1 Oscar. 23 wins & 67 nominations total,66.0,6.8,"52,368",tt7549996,24313888.0,English,0.0,not_netflix
432,Prey,2022-08-05,100 min,"Action, Adventure, Drama",2 wins & 26 nominations,71.0,7.1,"202,259",tt11866324,,"English, North American Indian, French",65000000.0,netflix
433,10 Minutes Gone,2019-09-27,89 min,"Action, Crime, Mystery",,13.0,3.6,"4,065",tt8809652,,English,0.0,not_netflix
434,Joker,2019-10-04,122 min,"Crime, Drama, Thriller",Won 2 Oscars. 122 wins & 239 nominations total,59.0,8.4,"1,328,051",tt7286456,335477657.0,English,55000000.0,not_netflix
435,Lucy in the Sky,2019-10-04,124 min,"Drama, Romance, Sci-Fi",6 nominations,36.0,4.9,"8,218",tt4682804,319976.0,"English, French, German, Latin",0.0,not_netflix
436,Dolemite Is My Name,2019-10-25,118 min,"Biography, Comedy, Drama",30 wins & 67 nominations,76.0,7.2,"62,423",tt8526872,,English,0.0,netflix
437,In the Tall Grass,2019-10-04,101 min,"Horror, Mystery, Sci-Fi",2 wins & 3 nominations,46.0,5.4,"58,789",tt4687108,,English,0.0,netflix
438,Low Tide,2019-09-05,86 min,"Drama, Thriller",2 nominations,64.0,6.3,"2,888",tt7434324,,English,0.0,not_netflix
439,Wrinkles the Clown,2019-10-04,78 min,"Documentary, Comedy, Horror",5 nominations,53.0,4.9,"1,462",tt9097270,14938.0,English,0.0,not_netflix
440,Little Monsters,2019-10-11,93 min,"Comedy, Horror, Sci-Fi",3 wins & 10 nominations,59.0,6.3,"18,144",tt7390588,,"English, Chinese",0.0,not_netflix
441,Gemini Man,2019-10-11,117 min,"Action, Sci-Fi, Thriller",1 win & 6 nominations,38.0,5.7,"116,019",tt1025100,48546770.0,"English, French",0.0,not_netflix
442,The Addams Family,1991-11-22,99 min,"Comedy, Fantasy",Nominated for 1 Oscar. 5 wins & 23 nominations total,57.0,6.9,"169,896",tt0101272,113502426.0,"English, Italian, French",40000000.0,not_netflix
443,The King,2019-11-01,140 min,"Biography, Drama, History",12 wins & 28 nominations,62.0,7.3,"136,144",tt7984766,,"English, French, Latin",0.0,netflix
444,Jexi,2019-10-11,84 min,"Comedy, Romance, Sci-Fi",1 nomination,39.0,6.0,"29,110",tt9354944,6546159.0,English,5000000.0,not_netflix
445,Polaroid,2019-09-17,88 min,"Drama, Horror, Mystery",,,5.1,"14,860",tt5598292,,English,0.0,not_netflix
446,El Camino: A Breaking Bad Movie,2019-10-11,122 min,"Action, Crime, Drama",Nominated for 4 Primetime Emmys. 4 wins & 24 nominations total,72.0,7.3,"262,472",tt9243946,,"English, Spanish",0.0,netflix
447,Maleficent: Mistress of Evil,2019-10-18,119 min,"Adventure, Family, Fantasy",Nominated for 1 Oscar. 1 win & 11 nominations total,43.0,6.6,"109,395",tt4777008,113929605.0,English,185000000.0,not_netflix
448,Zombieland: Double Tap,2019-10-18,99 min,"Action, Comedy, Horror",6 nominations,55.0,6.7,"186,369",tt1560220,73123082.0,"English, Spanish, Italian, Inuktitut, Hindi",42000000.0,not_netflix
449,Jojo Rabbit,2019-11-08,108 min,"Comedy, Drama, War",Won 1 Oscar. 49 wins & 191 nominations total,58.0,7.9,"404,557",tt2584384,33370906.0,"English, German",14000000.0,not_netflix
450,The Lighthouse,2019-11-01,109 min,"Drama, Fantasy, Mystery",Nominated for 1 Oscar. 34 wins & 139 nominations total,83.0,7.4,"226,244",tt7984734,10867104.0,English,11000000.0,not_netflix
451,Wounds,2019-10-18,95 min,"Drama, Horror, Mystery",,51.0,4.1,"20,185",tt5913798,,English,0.0,not_netflix
452,Black and Blue,2019-10-25,108 min,"Action, Thriller",1 win & 2 nominations,54.0,6.4,"24,923",tt7390646,22055313.0,English,12000000.0,not_netflix
453,The Current War: Director's Cut,2019-10-25,102 min,"Biography, Drama, History",,55.0,6.5,"28,723",tt2140507,5979540.0,"English, Spanish",,not_netflix
454,Countdown,2019-10-25,90 min,"Horror, Thriller",,31.0,5.4,"40,680",tt10039344,25621766.0,"English, Latin",6500000.0,not_netflix
455,The Kill Team,2019-10-25,87 min,"Action, Biography, Drama",,60.0,6.0,"6,241",tt6196936,,English,0.0,not_netflix
456,The Gallows Act II,2019-10-25,99 min,"Horror, Mystery, Thriller",,,4.2,"2,179",tt7473716,,English,0.0,not_netflix
457,Terminator: Dark Fate,2019-11-01,128 min,"Action, Adventure, Sci-Fi",1 win & 12 nominations,54.0,6.2,"182,839",tt6450804,62253077.0,"English, Spanish",185000000.0,not_netflix
458,Motherless Brooklyn,2019-11-01,144 min,"Crime, Drama, Mystery",2 wins & 15 nominations,60.0,6.8,"59,509",tt0385887,9277736.0,"English, French",26000000.0,not_netflix
459,The Irishman,2019-11-27,209 min,"Biography, Crime, Drama",Nominated for 10 Oscars. 73 wins & 357 nominations total,94.0,7.8,"398,544",tt1302006,,"English, Italian, Latin, Spanish, German",159000000.0,netflix
460,Harriet,2019-11-01,125 min,"Action, Biography, Drama",Nominated for 2 Oscars. 21 wins & 54 nominations total,66.0,6.7,"28,539",tt4648786,43082155.0,English,0.0,not_netflix
461,Arctic Dogs,2019-11-01,92 min,"Animation, Adventure, Comedy",1 nomination,28.0,4.8,"2,089",tt4426464,5801249.0,"English, Korean",0.0,not_netflix
462,Marriage Story,2019-12-06,137 min,"Drama, Romance",Won 1 Oscar. 128 wins & 275 nominations total,94.0,7.9,"320,493",tt7653254,,"English, Spanish",18000000.0,netflix
463,Doctor Sleep,2019-11-08,152 min,"Drama, Fantasy, Horror",9 wins & 37 nominations,59.0,7.3,"199,613",tt5606664,31581712.0,"English, Persian",45000000.0,not_netflix
464,Last Christmas,2019-11-08,103 min,"Comedy, Drama, Fantasy",1 win & 2 nominations,50.0,6.5,"83,438",tt8623904,35150750.0,"English, Serbo-Croatian, Mandarin, French",30000000.0,not_netflix
465,Playing with Fire,2019-11-08,96 min,"Comedy, Family",2 wins & 2 nominations,24.0,5.1,"15,259",tt9134216,44451847.0,"English, Spanish, French",29900000.0,not_netflix
466,Let It Snow,2019-11-08,92 min,"Comedy, Romance",1 nomination,51.0,5.8,"23,410",tt1950235,,English,0.0,netflix
467,Midway,2019-11-08,138 min,"Action, Drama, History",1 nomination,47.0,6.7,"88,786",tt6924650,56846802.0,"English, Japanese, Mandarin",100000000.0,not_netflix
468,Klaus,2019-11-15,96 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 11 wins & 26 nominations total,65.0,8.2,"163,581",tt4729430,,"English, Saami",0.0,netflix
469,Honey Boy,2019-11-27,94 min,Drama,10 wins & 41 nominations,73.0,7.2,"38,858",tt8151874,3012615.0,"English, Spanish",3500000.0,not_netflix
470,Lady and the Tramp,1955-06-22,76 min,"Animation, Adventure, Comedy",Nominated for 1 BAFTA Award1 win & 2 nominations total,78.0,7.3,"139,913",tt0048280,93602326.0,English,0.0,not_netflix
471,Noelle,2019-11-12,100 min,"Adventure, Comedy, Family",1 win,48.0,6.3,"24,065",tt5097410,,"English, American Sign ",0.0,not_netflix
472,Ford v Ferrari,2019-11-15,152 min,"Action, Biography, Drama",Won 2 Oscars. 25 wins & 90 nominations total,81.0,8.1,"410,331",tt1950186,117624357.0,"English, Italian, French, Japanese",97600000.0,not_netflix
473,Charlie's Angels,2000-11-03,98 min,"Action, Adventure, Comedy",15 wins & 33 nominations,52.0,5.6,"190,087",tt0160127,125305545.0,"English, German, Finnish, Japanese, Cantonese",48000000.0,not_netflix
474,The Good Liar,2019-11-15,109 min,"Crime, Drama, Mystery",6 nominations,55.0,6.7,"44,056",tt5563334,17156058.0,"English, German, Russian, French, Spanish",10000000.0,not_netflix
475,The Report,2019-11-15,119 min,"Biography, Crime, Drama",4 wins & 13 nominations,66.0,7.2,"45,910",tt8236336,,English,0.0,not_netflix
476,Waves,2019-12-06,135 min,"Drama, Romance, Sport",14 wins & 41 nominations,80.0,7.5,"27,407",tt8652728,1658790.0,English,6000000.0,not_netflix
477,Frozen II,2019-11-22,103 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 18 wins & 91 nominations total,64.0,6.8,"179,055",tt4520988,477373578.0,English,150000000.0,not_netflix
478,A Beautiful Day in the Neighborhood,2019-11-22,109 min,"Biography, Drama",Nominated for 1 Oscar. 7 wins & 64 nominations total,80.0,7.2,"83,373",tt3224458,61704055.0,English,25000000.0,not_netflix
479,21 Bridges,2019-11-22,99 min,"Action, Crime, Drama",2 nominations,51.0,6.6,"69,862",tt8688634,28539757.0,English,33000000.0,not_netflix
480,Dark Waters,2019-12-06,126 min,"Biography, Drama, History",10 nominations,73.0,7.6,"92,586",tt9071322,11136084.0,"English, Korean",0.0,not_netflix
481,Knives Out,2019-11-27,130 min,"Comedy, Crime, Drama",Nominated for 1 Oscar. 52 wins & 114 nominations total,82.0,7.9,"718,304",tt8946378,165363234.0,"English, Spanish, Hindi",40000000.0,not_netflix
482,Queen,2014-03-07,146 min,"Adventure, Comedy, Drama",25 wins & 29 nominations,,8.1,"66,678",tt3322420,,"Hindi, English, French, Japanese, Dutch",562000.0,not_netflix
483,The Two Popes,2019-12-20,125 min,"Biography, Comedy, Drama",Nominated for 3 Oscars. 11 wins & 57 nominations total,75.0,7.6,"127,201",tt8404614,,"English, Spanish, Italian, Latin, Portuguese, French, German",0.0,netflix
484,Playmobil: The Movie,2019-12-06,99 min,"Animation, Adventure, Comedy",,25.0,4.9,"4,319",tt4199898,1115008.0,English,75000000.0,not_netflix
485,The Aeronauts,2019-12-20,100 min,"Action, Adventure, Drama",11 nominations,60.0,6.6,"34,916",tt6141246,,"English, French, Latin",40000000.0,not_netflix
486,A Million Little Pieces,2019-12-06,113 min,Drama,,45.0,6.2,"3,619",tt0427543,,English,0.0,not_netflix
487,Daniel Isn't Real,2019-12-06,100 min,"Drama, Fantasy, Horror",5 wins & 4 nominations,61.0,6.1,"9,251",tt8745960,,English,0.0,not_netflix
488,Trauma Center,2019-12-06,87 min,"Action, Thriller",,,4.0,"11,449",tt9625664,,"English, Spanish",0.0,not_netflix
489,Jumanji: The Next Level,2019-12-13,123 min,"Action, Adventure, Comedy",2 wins & 11 nominations,58.0,6.7,"259,657",tt7975244,320314960.0,English,125000000.0,not_netflix
